"code","name"
"BMvaSviCaeAfs","Afschrijvingen sociaal vastgoed in exploitatie"
"BMvaSviCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen sociaal vastgoed in exploitatie"
"BMvaSviCaeWvr","Waardeverminderingen sociaal vastgoed in exploitatie"
"BMvaSviCaeTvw","Terugneming van waardeverminderingen sociaal vastgoed in exploitatie"
"BMvaSviCuh","Cumulatieve herwaarderingen sociaal vastgoed in exploitatie"
"BMvaSviCuhBeg","Beginbalans sociaal vastgoed in exploitatie"
"BMvaSviCuhHer","Herwaarderingen sociaal vastgoed in exploitatie"
"BMvaSviCuhAfh","Afschrijving herwaarderingen sociaal vastgoed in exploitatie"
"BMvaSviCuhDeh","Desinvestering herwaarderingen sociaal vastgoed in exploitatie"
"BMvaCvi","Commercieel vastgoed in exploitatie"
"BMvaCviVvp","Verkrijgings- of vervaardigingsprijs commercieel vastgoed in exploitatie"
"BMvaCviVvpBeg","Beginbalans commercieel vastgoed in exploitatie"
"BMvaCviVvpIna","Investeringen nieuw aangeschaft commercieel vastgoed in exploitatie"
"BMvaCviVvpIta","Investeringen tweedehands aangeschaft commercieel vastgoed in exploitatie"
"BMvaCviVvpIie","Investeringen in eigen beheer vervaardigd commercieel vastgoed in exploitatie"
"BMvaCviVvpAdo","Aankopen door overnames commercieel vastgoed in exploitatie"
"BMvaCviVvpDes","Desinvesteringen commercieel vastgoed in exploitatie"
"BMvaCviVvpDda","Desinvesteringen door afstotingen commercieel vastgoed in exploitatie"
"BMvaCviVvpOmv","Omrekeningsverschillen commercieel vastgoed in exploitatie"
"BMvaCviVvpOve","Overboekingen commercieel vastgoed in exploitatie"
"BMvaCviVvpOvm","Overige mutaties commercieel vastgoed in exploitatie"
"BMvaCviCae","Cumulatieve afschrijvingen en waardeverminderingen commercieel vastgoed in exploitatie"
"BMvaCviCaeBeg","Beginbalans commercieel vastgoed in exploitatie"
"BMvaCviCaeAfs","Afschrijvingen commercieel vastgoed in exploitatie"
"BMvaCviCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen commercieel vastgoed in exploitatie"
"BMvaCviCaeWvr","Waardeverminderingen commercieel vastgoed in exploitatie"
"BMvaCviCaeTvw","Terugneming van waardeverminderingen commercieel vastgoed in exploitatie"
"BMvaCviCuh","Cumulatieve herwaarderingen commercieel vastgoed in exploitatie"
"BMvaCviCuhBeg","Beginbalans commercieel vastgoed in exploitatie"
"BMvaCviCuhHer","Herwaarderingen commercieel vastgoed in exploitatie"
"BMvaCviCuhAfh","Afschrijving herwaarderingen commercieel vastgoed in exploitatie"
"BMvaCviCuhDeh","Desinvestering herwaarderingen commercieel vastgoed in exploitatie"
"BMvaOzv","Onroerende zaken verkocht onder voorwaarden"
"BMvaOzvVvp","Verkrijgings- of vervaardigingsprijs onroerende zaken verkocht onder voorwaarden"
"BMvaOzvVvpBeg","Beginbalans onroerende zaken verkocht onder voorwaarden"
"BMvaOzvVvpIna","Investeringen nieuw aangeschaft onroerende zaken verkocht onder voorwaarden"
